,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
42,New Norfolk,40,AU,44,-42.78,147.06,296.15,10.8
43,Constitucion,5,MX,47,23.99,-104.67,286.15,5.1
44,Atuona,1,PF,73,-9.8,-139.03,300.14,6.28
45,Kerrville,1,US,74,30.05,-99.14,279.82,2.25
46,Talaya,20,RU,84,55.79,84.89,256.15,1.0
47,Lagoa,0,PT,81,37.14,-8.45,284.82,4.1
48,Kapaa,40,US,61,22.08,-159.32,300.15,2.6
49,Rikitea,100,PF,82,-23.12,-134.97,298.57,4.88
50,Arraial do Cabo,0,BR,88,-22.97,-42.02,297.44,6.65
51,Hermanus,0,ZA,71,-34.42,19.24,290.37,9.33
52,Kutum,68,SD,27,14.2,24.66,284.0,2.22
53,Mar del Plata,0,AR,68,-46.43,-67.52,287.0,5.08
54,Torbay,90,CA,80,47.66,-52.73,274.26,11.3
55,Srednekolymsk,0,RU,100,67.46,153.71,237.47,0.76
56,Sao Joao da Barra,0,BR,87,-21.64,-41.05,297.45,3.49
57,Bambous Virieux,75,MU,88,-20.34,57.76,299.82,8.2
58,Tasiilaq,100,GL,86,65.61,-37.64,270.15,2.1
59,Yellowknife,90,CA,84,62.45,-114.38,260.37,5.1
60,Caravelas,0,BR,92,-17.73,-39.27,294.9,0.37
61,Dhidhdhoo,100,MV,68,6.88,73.1,300.79,3.29
62,Scarborough,100,GB,93,54.28,-0.41,277.59,1.0
63,Bourail,100,NC,66,-21.57,165.5,299.29,2.86
64,Cidreira,37,BR,90,-30.17,-50.22,297.22,9.15
65,Urucui,100,BR,95,-7.23,-44.56,295.06,2.82
66,Turbat,0,PK,21,26.0,63.05,288.79,3.1
67,Bikaner,33,IN,37,28.02,73.32,283.17,2.55
68,Khor,96,RU,86,47.88,134.96,248.69,7.55
69,Norman Wells,20,CA,68,65.28,-126.83,245.15,2.6
70,Provideniya,0,RU,63,64.42,-173.23,251.15,10.0
71,Smithers,90,CA,100,54.78,-127.17,274.15,1.0
72,Batemans Bay,100,AU,12,-35.71,150.18,311.48,1.34
73,Portland,90,US,85,43.66,-70.25,273.71,5.7
74,Upernavik,100,GL,97,72.79,-56.15,253.85,9.71
75,Busselton,0,AU,22,-33.64,115.35,301.48,4.54
76,San Patricio,82,PY,58,-26.98,-56.83,301.36,3.07
77,Jeremie,14,HT,93,18.65,-74.12,293.52,1.34
78,Gobo,75,JP,53,33.89,135.15,287.15,10.8
79,Narsaq,0,GL,65,60.91,-46.05,258.15,2.6
80,Gornozavodsk,100,RU,94,58.37,58.33,262.17,5.78
81,Sorland,100,NO,62,67.67,12.69,276.61,6.88
82,Hauterive,40,CA,79,49.18,-68.27,268.15,6.7
83,Tallahassee,75,US,76,30.44,-84.28,285.93,2.6
84,Bluff,0,AU,29,-23.58,149.07,305.3,4.54
85,Vaini,40,IN,82,15.34,74.49,292.15,3.1
86,Nizhneangarsk,100,RU,99,55.78,109.57,250.26,0.38
87,Guacui,18,BR,96,-20.78,-41.68,291.23,1.25
88,Along,0,IN,39,28.17,94.8,285.92,2.08
89,Margate,40,AU,55,-43.03,147.26,296.15,10.8
90,Axim,2,GH,89,4.87,-2.24,298.11,0.94
91,Cojutepeque,100,SV,94,13.72,-88.93,299.15,2.6
92,Bay Roberts,90,CA,80,47.58,-53.28,274.26,11.3
93,Manpur,90,IN,100,24.8,85.03,278.15,0.79
94,Kandrian,100,PG,61,-6.21,149.55,304.27,3.24
95,Broken Hill,0,AU,17,-31.97,141.45,300.15,9.8
96,Iqaluit,5,CA,69,63.75,-68.52,248.15,10.3
97,Hamilton,90,CA,86,43.26,-79.87,277.15,7.2
98,Mecca,97,SA,67,21.43,39.83,293.74,2.06
99,Tucuman,82,PE,82,-17.17,-70.89,284.82,1.1
100,Itaguai,8,BR,88,-22.85,-43.78,298.15,1.5
101,Dubbo,40,AU,10,-32.25,148.6,312.15,9.8
102,Broome,93,GB,93,52.47,1.45,279.26,1.5
103,Sungaipenuh,69,ID,71,-2.08,101.38,296.97,1.16
104,Victoria,75,BN,79,5.28,115.24,303.15,4.1
105,Gaoual,0,GN,21,11.75,-13.2,294.03,2.09
106,Khatanga,96,RU,86,71.98,102.47,244.56,3.8
107,Yangjiang,100,CN,56,21.85,111.96,295.37,4.14
108,Lorengau,29,PG,66,-2.02,147.27,302.59,2.08
109,Lima,90,PE,83,-12.06,-77.04,295.15,5.7
110,Machilipatnam,0,IN,73,16.18,81.14,296.15,3.6
111,Monster,90,NL,100,52.03,4.17,283.15,1.0
112,Walvis Bay,90,NA,87,-22.95,14.51,289.26,4.6
113,Henties Bay,100,NA,93,-22.12,14.28,289.26,0.45
114,Cayenne,75,GF,83,4.94,-52.33,298.15,2.1
115,Haines Junction,94,CA,96,60.75,-137.51,268.52,4.01
116,Georgetown,40,GY,94,6.8,-58.16,298.15,2.1
117,Rio Gallegos,75,AR,62,-51.62,-69.22,284.15,0.5
118,Diu,0,IN,47,20.71,70.98,293.06,3.67
119,Yumen,0,CN,55,40.29,97.04,263.11,7.18
120,Morro Bay,1,US,81,35.37,-120.85,286.15,1.85
121,Isangel,62,VU,65,-19.55,169.27,301.15,4.6
122,Bethel,1,US,83,60.79,-161.76,252.15,6.2
123,Qaanaaq,96,GL,93,77.48,-69.36,237.27,2.45
124,Madang,0,CN,43,35.32,102.79,269.83,0.54
125,Saldanha,0,PT,66,41.42,-6.55,277.34,0.65
126,Saint-Philippe,90,CA,92,45.36,-73.48,273.71,5.1
127,East London,99,ZA,88,-33.02,27.91,291.15,2.6
128,Te Anau,13,NZ,51,-45.41,167.72,293.4,3.97
129,Arlit,0,NE,30,18.74,7.39,286.13,2.77
130,Kavieng,2,PG,68,-2.57,150.8,302.54,2.92
131,Ponta do Sol,78,BR,83,-20.63,-46.0,291.87,0.79
132,Hobart,40,AU,55,-42.88,147.33,296.15,10.8
133,Kodiak,90,US,74,39.95,-94.76,273.15,7.7
134,Basco,90,US,74,40.33,-91.2,272.59,9.3
135,High Rock,100,BS,86,26.63,-78.28,297.77,9.04
136,Luocheng,100,CN,90,28.29,114.55,279.7,0.53
137,Gayeri,0,BF,17,12.65,0.49,290.06,3.28
138,Xining,0,CN,26,36.62,101.77,269.13,2.24
139,Tessalit,26,ML,21,20.2,1.01,285.45,3.75
140,Merauke,62,ID,51,-8.49,140.4,308.2,1.55
141,Chokurdakh,26,RU,78,70.62,147.9,240.23,1.86
142,Kameda,75,JP,86,37.87,139.12,278.15,15.9
143,Gamba,0,CN,25,28.28,88.52,260.99,1.32
144,Rawson,0,AR,86,-43.3,-65.11,288.98,2.73
145,Trincomalee,100,LK,86,8.58,81.23,299.07,0.96
146,Turukhansk,100,RU,89,65.8,87.96,254.24,8.2
147,Huarmey,73,PE,85,-10.07,-78.15,292.67,1.5
148,Uyskoye,92,RU,92,54.37,60.01,254.72,3.96
149,Mezen,100,RU,89,65.85,44.24,268.12,4.63
150,Cherskiy,0,RU,99,68.75,161.3,235.6,1.74
151,Otavi,100,NA,73,-19.64,17.34,293.64,0.87
152,Raudeberg,67,NO,65,61.99,5.14,278.15,11.8
153,Nenjiang,97,CN,77,49.17,125.23,252.26,2.43
154,Edson,90,CA,92,53.59,-116.44,267.15,2.1
155,Moron,3,HT,82,18.56,-74.26,298.19,2.11
156,Floresta,100,BR,77,-8.6,-38.57,296.4,2.05
157,Udachnyy,0,RU,65,66.42,112.4,236.15,2.0
158,Jumla,66,NP,24,29.28,82.18,273.04,1.08
159,Ribeira Grande,100,PT,88,38.52,-28.7,287.92,7.85
160,Nome,1,US,70,30.04,-94.42,284.26,1.5
161,Cabo San Lucas,5,MX,77,22.89,-109.91,290.37,3.6
162,Chuy,99,UY,91,-33.69,-53.46,295.32,4.64
163,Salta,75,AR,82,-24.79,-65.41,295.15,3.1
164,Clovis,1,US,87,36.83,-119.7,280.37,1.35
165,Alofi,100,NU,83,-19.06,-169.92,302.15,6.2
166,Great Yarmouth,93,GB,93,52.61,1.73,279.26,1.5
167,Kahului,40,US,54,20.89,-156.47,300.15,8.7
168,Seoul,1,KR,34,37.57,126.98,268.15,3.1
169,Castro,0,CL,87,-42.48,-73.76,282.15,2.6
170,Harnai,63,PK,44,30.1,67.94,279.94,0.5
171,Caramay,100,PH,66,10.18,119.24,301.72,4.52
172,Barrow,100,AR,93,-38.31,-60.23,293.79,5.13
173,Sasciori,75,RO,92,45.87,23.58,264.26,1.5
174,Pisco,65,PE,88,-13.71,-76.2,294.26,4.1
175,Yasothon,20,TH,54,15.8,104.15,301.48,5.1
176,Port Moresby,40,PG,59,-9.47,147.16,306.15,3.6
177,Hithadhoo,4,MV,74,-0.6,73.08,300.75,1.74
178,Dryden,90,CA,78,49.79,-92.84,265.15,4.6
179,Airai,83,TL,57,-8.93,125.41,301.19,1.73
180,Tommot,100,RU,96,58.97,126.27,243.15,0.74
181,Clyde River,1,CA,68,70.47,-68.59,245.15,2.1
182,Saskylakh,0,RU,93,71.97,114.09,236.47,4.57
183,Sakaiminato,75,JP,62,35.55,133.23,280.15,10.3
184,Ust-Maya,100,RU,94,60.42,134.54,239.49,1.16
185,Souillac,8,FR,100,45.6,-0.6,277.15,1.5
186,Hovd,75,NO,95,63.83,10.7,278.15,22.1
187,Peniche,75,PT,87,39.36,-9.38,284.15,3.1
188,Kotelnikovo,0,RU,92,47.63,43.14,270.09,3.6
189,Itamarandiba,0,BR,97,-17.86,-42.86,288.99,1.57
190,Suez,0,EG,67,29.97,32.54,281.16,0.89
191,Vanimo,75,PG,78,-2.67,141.3,301.61,6.44
192,Abu Dhabi,0,AE,100,24.47,54.37,289.15,1.5
193,Cascais,20,PT,100,38.7,-9.42,282.59,1.5
194,Hluti,100,SZ,97,-27.22,31.62,292.56,0.29
195,Saint-Leu,100,RE,94,-21.15,55.28,300.15,5.7
196,Orje,32,NO,56,59.48,11.66,279.15,5.1
197,Roald,100,NO,72,62.58,6.12,277.15,6.2
198,Dalvik,10,SE,86,57.79,14.13,278.71,5.1
199,Ostrovnoy,100,RU,76,68.05,39.51,270.0,8.86
200,The Valley,20,AI,88,18.22,-63.06,298.71,3.1
201,Xinqing,10,CN,74,48.28,129.53,250.12,4.49
202,Gombong,100,ID,77,-7.19,109.31,301.58,1.56
203,Novyy Urengoy,100,RU,65,66.08,76.63,260.11,11.53
204,Llandrindod Wells,71,GB,95,52.24,-3.38,280.37,1.34
205,Sao Filipe,99,CV,60,14.9,-24.5,296.64,4.93
206,Grand-Santi,100,GF,99,4.27,-54.38,294.12,0.79
207,Colares,20,PT,100,38.8,-9.45,282.59,1.5
208,Smoky Lake,100,CA,88,54.11,-112.47,267.59,0.45
209,Tuktoyaktuk,90,CA,69,69.44,-133.03,249.15,4.6
210,Talakan,35,RU,92,50.29,130.28,242.3,2.45
211,Touros,20,BR,78,-5.2,-35.46,299.15,2.6
212,Sabha,0,LY,54,27.03,14.43,277.53,2.18
213,Pontes e Lacerda,100,BR,95,-15.23,-59.33,295.8,1.42
214,Stantsionno-Oyashinskiy,96,RU,94,55.47,83.82,261.46,4.39
215,Denpasar,40,ID,70,-8.65,115.22,305.15,3.1
216,Quchan,4,IR,93,37.11,58.51,271.61,2.13
217,Hasaki,71,JP,67,35.73,140.83,292.04,4.6
218,Faanui,100,PF,77,-16.48,-151.75,300.53,6.58
219,Tocopilla,0,CL,39,-22.09,-70.2,287.28,1.31
220,Yar-Sale,100,RU,78,66.83,70.83,262.4,11.02
221,Flinders,0,AU,25,-34.58,150.85,315.93,6.2
222,Tuatapere,66,NZ,20,-46.13,167.69,302.31,2.72
223,Mende,0,FR,79,44.52,3.5,273.28,0.44
224,Lakeside,75,US,54,32.86,-116.92,287.15,2.6
225,Marsh Harbour,64,BS,82,26.54,-77.06,297.33,5.45
226,Thompson,90,CA,92,55.74,-97.86,259.15,2.1
227,Benjamin Constant,75,BR,100,-4.38,-70.03,298.15,2.1
228,Kruisfontein,0,ZA,94,-34.0,24.73,285.31,1.49
229,Kudahuvadhoo,100,MV,76,2.67,72.89,301.17,5.22
230,Maniitsoq,100,GL,94,65.42,-52.9,266.43,4.5
231,Abyek,75,IR,74,36.04,50.53,276.15,1.0
232,Bathsheba,40,BB,74,13.22,-59.52,299.15,6.7
233,Ilulissat,100,GL,67,69.22,-51.1,265.15,9.8
234,Itaberai,100,BR,85,-16.02,-49.81,293.91,1.48
235,Lomovka,75,RU,85,53.92,58.37,262.15,6.0
236,Imeni Poliny Osipenko,100,RU,92,52.42,136.49,251.36,1.62
237,Lamar,1,US,78,38.09,-102.62,263.15,3.6
238,Namibe,100,AO,86,-15.19,12.15,296.42,2.95
239,Abha,0,SA,75,18.22,42.5,283.15,2.6
240,La Ronge,90,CA,92,55.1,-105.3,267.15,3.1
241,Datong,0,CN,51,40.09,113.3,257.14,2.52
242,Baiyin,53,CN,41,36.55,104.13,268.15,2.0
243,Le Port,0,FR,51,42.87,1.37,277.04,2.24
244,Guerrero Negro,20,MX,65,27.97,-114.04,287.45,2.28
245,Nakhon Ratchasima,20,TH,65,14.97,102.09,300.37,6.2
246,Floro,73,NO,65,61.6,5.03,278.15,11.8
247,Liverpool,97,GB,100,53.41,-2.98,280.37,2.6
248,Iacu,17,BR,97,-12.77,-40.21,292.92,2.21
249,Plettenberg Bay,4,ZA,88,-34.05,23.37,288.91,1.64
250,Kentau,100,KZ,87,43.52,68.5,268.67,1.92
251,Longfeng,52,CN,81,31.05,103.87,286.48,1.0
252,Alberton,99,ZA,82,-26.25,28.13,293.15,2.6
253,Rameswaram,100,IN,83,9.28,79.3,298.92,6.05
254,Goderich,86,CA,81,43.74,-81.71,275.37,7.15
255,Hami,0,CN,42,42.84,93.51,265.23,1.76
256,Kaitangata,30,NZ,86,-46.28,169.85,287.29,11.93
257,Sri Aman,75,MY,79,1.24,111.46,302.15,1.5
258,Moose Factory,90,CA,92,51.26,-80.61,266.15,5.7
259,Dalnerechensk,1,RU,77,45.93,133.72,252.36,4.8
260,Fort Nelson,75,CA,84,58.81,-122.69,257.15,1.5
261,Rexburg,75,US,77,43.82,-111.79,259.26,1.5
262,Sayat,56,TM,86,38.78,63.88,272.15,1.0
263,Daloa,0,CI,75,6.88,-6.45,293.67,1.19
264,General Roca,0,AR,44,-39.03,-67.58,300.15,4.6
265,Port Lincoln,0,AU,47,-34.72,135.86,293.22,6.41
266,Mahebourg,75,MU,88,-20.41,57.7,299.82,8.2
267,Port Macquarie,0,AU,32,-31.43,152.91,310.37,8.2
268,Horsham,0,AU,15,-36.71,142.2,299.89,4.87
269,Vagur,100,FO,83,61.47,-6.81,280.92,10.64
270,Vila,0,IT,100,45.18,8.4,274.26,2.1
271,Corinto,75,CO,100,3.17,-76.26,294.15,2.1
272,Dwarka,75,IN,87,28.58,77.04,283.71,2.6
273,Rach Gia,40,VN,74,10.02,105.08,302.15,4.1
274,Salalah,20,OM,88,17.01,54.1,296.15,1.5
275,Santa Isabel do Rio Negro,100,BR,94,-0.41,-65.02,297.04,1.0
276,Nuuk,100,GL,79,64.17,-51.74,268.15,2.6
277,Brae,33,GB,70,60.4,-1.35,280.15,4.6
278,Avera,1,US,81,33.19,-82.53,284.82,1.5
279,Savinka,74,RU,86,50.08,47.1,268.5,8.19
280,Northam,0,AU,25,-31.65,116.67,302.59,1.5
281,Bam,0,IR,45,29.11,58.36,283.09,1.18
282,Alihe,67,CN,73,50.57,123.73,251.16,1.87
283,Lompoc,1,US,71,34.64,-120.46,286.15,4.32
284,Zhanakorgan,100,KZ,97,43.91,67.25,270.88,3.69
285,Erenhot,0,CN,56,43.65,111.97,259.25,7.62
286,Pestravka,100,RU,89,52.4,49.95,265.63,9.95
287,Cockburn Town,0,TC,80,21.46,-71.14,298.48,7.43
288,Ranong,40,TH,74,9.96,98.62,302.15,1.5
289,Nanortalik,0,GL,51,60.14,-45.24,269.13,3.79
290,Luderitz,100,NA,77,-26.65,15.16,290.15,5.1
291,Barra,22,GM,45,13.49,-16.54,293.15,4.1
292,Buala,90,SB,72,-8.15,159.59,301.77,2.88
293,Harper,1,US,59,30.3,-99.24,279.26,1.5
294,Kamenka,98,MD,84,48.03,28.7,271.48,3.2
295,Gallup,1,US,85,35.53,-108.74,266.15,1.89
296,Nan,0,TH,73,18.78,100.78,297.15,2.6
297,Talnakh,100,RU,84,69.49,88.39,258.15,13.0
298,Nelson Bay,0,AU,15,-32.72,152.14,314.26,6.2
299,Gigmoto,100,PH,79,13.78,124.39,300.89,6.61
300,Clarence Town,0,AU,15,-32.59,151.78,315.37,6.2
301,Hoshcha,45,UA,73,50.6,26.67,274.41,8.68
302,Khasan,0,RU,40,42.43,130.64,260.98,8.66
303,Eureka,90,US,100,40.8,-124.16,281.48,1.5
304,Etchoropo,0,MX,80,26.77,-109.67,287.59,2.22
305,Tono,75,JP,80,39.35,141.52,278.15,4.6
306,Chabahar,0,IR,65,25.29,60.65,291.09,1.03
307,Muscat,20,OM,77,23.6,58.55,291.15,1.5
308,Olinda,20,AU,35,-37.84,145.39,297.04,7.7
309,Churapcha,96,RU,93,62.0,132.43,239.97,0.56
310,Yeppoon,10,AU,41,-23.13,150.74,306.15,5.1
311,Ust-Kuyga,86,RU,83,70.0,135.55,238.99,2.34
312,Golaghat,0,IN,70,26.51,93.97,288.22,1.49
313,Pauini,98,BR,96,-7.71,-67.0,296.02,1.1
314,Gat,100,SN,13,14.69,-16.54,298.15,5.7
315,Madingou,37,CG,96,-4.17,13.56,294.96,0.72
316,Aklavik,75,CA,75,68.22,-135.01,248.15,1.0
317,Ambilobe,57,MG,93,-13.19,49.05,297.41,1.34
318,Lata,100,IN,57,30.78,78.62,260.81,2.23
319,Makakilo City,20,US,57,21.35,-158.09,300.15,3.1
320,Naze,0,NG,100,5.43,7.07,294.15,0.7
321,Lishan,100,CN,84,24.07,102.75,284.64,0.95
322,Kuusamo,99,FI,79,65.96,29.19,266.15,4.1
323,Coihaique,21,CL,58,-45.58,-72.07,286.15,1.0
324,Half Moon Bay,90,US,87,37.46,-122.43,284.15,3.3
325,Port Hardy,90,CA,100,50.7,-127.42,280.15,9.8
326,Chumikan,100,RU,92,54.72,135.31,251.86,5.01
327,Salinopolis,100,BR,82,-0.61,-47.36,300.35,7.4
328,Atar,0,MR,17,20.52,-13.05,288.72,7.0
329,Longyearbyen,3,NO,54,78.22,15.63,256.15,1.5
330,Katsuura,75,JP,57,33.93,134.5,283.15,10.3
331,Dingle,33,PH,75,11.0,122.67,300.68,7.56
332,Sobolevo,100,RU,85,54.43,31.9,274.52,7.52
333,Molepolole,100,BW,78,-24.41,25.52,296.15,1.0
334,Povenets,100,RU,98,62.85,34.83,273.38,2.78
335,Fortuna,90,US,100,40.6,-124.16,281.48,1.5
336,Vestmannaeyjar,100,IS,91,63.44,-20.27,279.01,12.04
337,Lodja,75,CD,98,-3.52,23.6,293.23,0.41
338,Bodden Town,20,KY,83,19.28,-81.25,300.15,2.6
339,Suntar,15,RU,95,62.16,117.65,240.8,2.11
340,Uniontown,90,US,56,39.9,-79.72,279.26,1.5
341,Takoradi,27,GH,79,4.89,-1.75,300.26,1.91
342,Yerbogachen,99,RU,96,61.28,108.01,248.35,3.64
343,Adrar,0,DZ,52,27.87,-0.29,279.15,4.1
344,Taltal,26,CL,93,-25.41,-70.49,287.26,0.15
345,Kalabo,100,ZM,90,-15.0,22.67,294.24,1.87
346,Eirunepe,91,BR,87,-6.66,-69.87,296.28,0.35
347,Dunedin,33,NZ,80,-45.87,170.5,289.03,12.11
348,Pangnirtung,100,CA,99,66.15,-65.72,245.16,2.92
349,Tucupita,77,VE,97,9.06,-62.05,294.79,1.36
350,Marzuq,81,YE,89,14.4,46.47,287.71,0.57
351,Dondo,20,MZ,88,-19.62,34.74,299.15,1.5
352,Klaksvik,100,FO,81,62.23,-6.59,280.15,8.2
353,Mikasa,40,JP,69,43.25,141.9,274.26,6.7
354,Grand Gaube,75,MU,88,-20.01,57.66,299.82,8.2
355,Lavrentiya,0,RU,84,65.58,-170.99,243.16,4.16
356,Mount Isa,2,AU,17,-20.73,139.49,311.98,1.06
357,Carutapera,100,BR,82,-1.2,-46.02,300.46,7.05
358,Sao Jose da Coroa Grande,100,BR,75,-8.9,-35.15,299.92,6.48
359,Tiksi,100,RU,87,71.64,128.87,243.76,3.89
360,Mareeba,33,AU,62,-16.99,145.42,308.71,5.7
361,Santona,75,ES,87,43.44,-3.46,281.15,2.1
362,Molteno,91,ZA,96,-31.4,26.36,287.57,2.24
363,Nyurba,0,RU,95,63.29,118.35,237.58,2.66
364,Maragogi,100,BR,75,-9.01,-35.22,299.92,6.48
365,Aswan,0,EG,53,24.09,32.9,283.15,8.2
366,Shihezi,100,CN,83,44.3,86.03,263.14,1.85
367,El Limon,100,VE,91,10.3,-67.63,295.61,3.22
368,Sinop,100,TR,90,42.03,35.15,281.76,7.38
369,Santiago del Estero,71,AR,59,-27.8,-64.26,301.94,4.02
370,Oda,75,JP,72,35.19,132.5,277.15,10.3
371,Strezhevoy,26,RU,83,60.73,77.6,252.15,3.0
372,Dharchula,100,IN,25,29.85,80.53,273.28,3.21
373,Mayahi,0,NE,31,13.95,7.67,286.21,4.72
374,Florianopolis,75,BR,88,-27.6,-48.55,299.82,4.6
375,Labuhan,100,ID,79,-2.54,115.51,302.06,1.19
376,Greci,5,IT,86,41.25,15.17,277.59,4.6
377,Bukama,100,CD,99,-9.2,25.85,293.42,0.73
378,Bryan,1,US,80,30.67,-96.37,282.15,1.61
379,Matagami,0,NG,18,9.67,8.4,291.41,2.36
380,Lincoln,85,GB,93,53.23,-0.54,280.15,2.88
381,Siocon,10,PH,69,11.03,124.04,301.69,6.1
382,Diapaga,0,BF,18,12.07,1.79,290.51,3.15
383,Ipojuca,40,BR,74,-8.4,-35.06,300.15,2.1
384,Mabaruma,100,GY,98,8.2,-59.78,295.37,0.99
385,Cururupu,100,BR,98,-1.82,-44.87,296.72,0.98
386,Mitsamiouli,75,KM,88,-11.38,43.28,300.15,1.0
387,Zeya,2,RU,87,53.74,127.27,242.96,1.92
388,Kampong Cham,79,KH,55,11.99,105.46,302.91,5.51
389,Waingapu,0,ID,70,-9.65,120.26,302.57,1.81
390,Inirida,76,CO,89,3.87,-67.92,296.9,0.89
391,Zhoukou,0,CN,14,33.63,114.64,273.2,3.11
392,Cabedelo,20,BR,83,-6.97,-34.84,299.15,1.5
393,Baykit,90,RU,97,61.68,96.39,251.1,0.89
394,Glebychevo,64,RU,84,60.44,28.72,275.93,6.26
395,Bereda,90,ES,93,43.27,-7.54,283.15,3.6
396,Prince Rupert,90,CA,100,54.32,-130.32,280.15,3.1
397,Amazar,0,RU,85,53.86,120.88,246.24,1.81
398,Springdale,1,US,59,36.19,-94.13,276.48,4.1
399,Genhe,2,CN,83,50.78,121.52,247.13,1.44
400,Kaoma,100,ZM,97,-14.8,24.8,290.94,1.59
401,Shetpe,73,KZ,91,44.14,52.16,274.98,1.43
402,Porto Velho,20,BR,94,-8.75,-63.87,297.15,1.5
403,Ndioum,60,SN,36,16.51,-14.65,291.15,1.0
404,Jiayuguan,0,CN,44,39.77,98.29,263.71,3.51
405,Sharan,0,AF,59,33.15,68.78,269.31,0.54
406,Rabo de Peixe,75,PT,93,37.8,-25.58,290.15,8.7
407,Geraldton,90,CA,78,49.72,-86.95,263.15,7.7
408,Teguise,0,ES,87,29.06,-13.56,288.15,2.6
409,Wanning,75,AT,92,48.64,13.53,274.82,2.6
410,Sambava,87,MG,95,-14.27,50.17,296.51,0.69
411,Oromocto,90,CA,86,45.85,-66.47,270.93,3.6
412,Usinsk,100,RU,92,66.0,57.56,263.91,12.22
413,Okato,0,NZ,75,-39.19,173.88,294.82,2.68
414,Constantine,75,DZ,93,36.36,6.61,278.15,6.2
415,Oktyabrskiy,90,RU,86,55.61,37.97,274.15,5.0
416,Mitu,100,IR,99,36.2,46.09,273.37,1.44
417,Amudat,46,UG,62,1.95,34.95,292.13,1.51
418,Egvekinot,0,RU,91,66.32,-179.17,240.04,2.82
419,Normandin,90,CA,92,48.84,-72.53,266.15,4.1
420,San Quintin,0,PH,59,17.54,120.52,302.95,1.85
421,Narrabri,0,AU,18,-30.33,149.78,309.15,6.2
422,Dulovo,62,SK,54,48.37,20.19,270.93,0.61
423,Port-Gentil,41,GA,71,-0.72,8.78,301.26,2.35
424,Trinidad,93,BO,97,-14.83,-64.9,296.38,1.02
425,Felanitx,20,ES,100,39.47,3.15,285.93,1.0
426,Ajuchitlan,40,MX,67,20.72,-100.02,288.15,5.7
427,Balbalan,50,PH,61,17.44,121.2,296.61,2.63
428,Richards Bay,0,ZA,87,-28.77,32.06,296.01,2.69
429,Deputatskiy,26,RU,63,69.3,139.9,242.87,0.67
430,Vigia del Fuerte,100,CO,98,6.58,-76.89,296.55,1.5
431,San Jose,20,HN,78,14.25,-87.96,298.15,4.1
432,Qujing,100,CN,85,25.49,103.8,281.49,3.89
433,Kang,100,BW,81,-23.67,22.79,295.84,1.66
434,Gondar,90,PT,100,41.82,-8.78,285.93,2.1
